Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
Custom,01/03/18,W,W,0,0,W
Custom,01/10/18,W,0,W,0,0
Custom,01/17/18,W,W,0,0,W
Custom,01/24/18,W,0,W,0,0
Custom,01/31/18,W,W,0,0,0
Custom,02/07/18,W,0,W,0,0
Custom,02/14/18,W,W,0,0,0
Custom,02/21/18,W,0,W,0,0
Custom,02/28/18,W,W,0,0,0
Custom,03/07/18,W,0,W,0,0
Custom,03/14/18,W,W,0,W,0
Custom,03/21/18,W,0,W,0,0
Custom,03/28/18,W,W,0,W,0
Custom,04/04/18,W,0,W,0,0
Custom,04/11/18,W,W,0,W,0
Custom,04/18/18,W,0,W,0,0
Custom,04/25/18,W,W,0,W,0
Custom,05/02/18,W,0,W,0,0
Custom,05/09/18,W,W,0,W,0
Custom,05/16/18,W,0,W,0,0
Custom,05/23/18,W,W,0,W,0
Custom,05/30/18,W,0,W,0,0
Custom,06/06/18,W,W,0,W,0
Custom,06/13/18,W,0,W,0,0
Custom,06/20/18,W,W,0,W,0
Custom,06/27/18,W,0,W,0,0
Custom,07/04/18,W,W,0,W,0
Custom,07/11/18,W,0,W,0,0
Custom,07/18/18,W,W,0,W,0
Custom,07/25/18,W,0,W,0,0
Custom,08/01/18,W,W,0,W,0
Custom,08/08/18,W,0,W,0,0
Custom,08/15/18,W,W,0,W,0
Custom,08/22/18,W,0,W,0,0
Custom,08/29/18,W,W,0,W,0
Custom,09/05/18,W,0,W,0,0
Custom,09/12/18,W,W,0,W,0
Custom,09/19/18,W,0,W,0,0
Custom,09/26/18,W,W,0,W,0
Custom,10/03/18,W,0,W,0,0
Custom,10/10/18,W,W,0,W,0
Custom,10/17/18,W,0,W,0,0
Custom,10/24/18,W,W,0,W,0
Custom,10/31/18,W,0,W,0,0
Custom,11/07/18,W,W,0,W,0
Custom,11/14/18,W,0,W,0,0
Custom,11/21/18,W,W,0,W,0
Custom,11/28/18,W,0,W,0,0
Custom,12/05/18,W,W,0,W,0
Custom,12/12/18,W,0,W,0,0
Custom,12/19/18,W,W,0,0,0
Custom,12/26/18,W,0,W,0,0
Custom,01/02/19,W,W,0,0,0
Custom,01/09/19,W,0,W,0,0
Custom,01/16/19,W,W,0,0,0
Custom,01/23/19,W,0,W,0,0
Custom,01/30/19,W,W,0,0,0
Custom,02/06/19,W,0,W,0,0
Custom,02/13/19,W,W,0,0,0
Custom,02/20/19,W,0,W,0,0
Custom,02/27/19,W,W,0,0,0
Custom,03/06/19,W,0,W,0,0
Custom,03/13/19,W,W,0,W,0
Custom,03/20/19,W,0,W,0,0
Custom,03/27/19,W,W,0,W,0
Custom,04/03/19,W,0,W,0,0
Custom,04/10/19,W,W,0,W,0
Custom,04/17/19,W,0,W,0,0
Custom,04/24/19,W,W,0,W,0
Custom,05/01/19,W,0,W,0,0
Custom,05/08/19,W,W,0,W,0
Custom,05/15/19,W,0,W,0,0
Custom,05/22/19,W,W,0,W,0
Custom,05/29/19,W,0,W,0,0
Custom,06/05/19,W,W,0,W,0
Custom,06/12/19,W,0,W,0,0
Custom,06/19/19,W,W,0,W,0
Custom,06/26/19,W,0,W,0,0
Custom,07/03/19,W,W,0,W,0
Custom,07/10/19,W,0,W,0,0
